ASV ID,kingdom,phylum,class,order,family,genus,species
ecd57a49771ad4aac6857d23b35822fa,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,metagenome
b2a7b21e6a85a011511b56b1a0a8a567,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,uncultured,uncultured,uncultured_Acidobacteria
e86f59429ce9ded69f030efabd334c6a,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,Unassigned
4231031af60c48866589c0cc1de43b41,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,metagenome
4815f4f5ee03a1233ff8badee21ca364,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,AKYH767,Unassigned
f917d1e8e105790ce1f953164d913664,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS_17,env.OPS_17,uncultured_Bacteroidetes
1ecc8cb295ae930f7bcfa7e978769c23,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Unassigned
523b56f38f1b63676ca8493d8218ff58,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Tumebacillus,Tumebacillus_ginsengisoli
f858b75b2abb609463e9bfc81f947148,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,Unassigned
4b580186f959a516746bc1a423369e3d,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,Saccharimonadales,Unassigned
de8f12516f461725432be2c7e0318f03,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,uncultured,uncultured_delta
2bb1cdd62c52a975b031c94b5aa8ee6b,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Pseudorhodoferax,Unassigned
8e1f4ff92bb95cb20328d1e516f7a9ed,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,A4b,uncultured_soil
95c68f9e245ace25b06099c3001500cf,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,Unassigned
f1e7e90d8c9b0565d4aed1e6c990149d,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,uncultured_Frankiaceae
7af6bac043dcd05103eeaae57ac8d8d2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,uncultured_bacterium
f23f3a17211fb67931db5ea91ddb97b6,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,uncultured_bacterium
2dedeafb50e2443de34ef467e55a2668,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,Unassigned
9be80de0f9841667bf039c27d5d397d9,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,Unassigned
c3931965085b3fc61c096e1f25bbaabf,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,uncultured,uncultured_Isosphaera
ce0f44be92d2841f5d670314dda06254,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexales,Oligoflexus,uncultured_bacterium
8a77b18ad586dbef02dd3005d8f91575,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Unassigned,Unassigned
84455e01a1b46511249750ad30f10285,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,KD3-10,uncultured_bacterium
3cc44f6c6ef16676076eb6df2213f7d0,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,Unassigned
2f8712e24f16d0503099670350636b6f,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonadaceae,Unassigned
2a131ddedb8b9c2a449dc575b555b479,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,uncultured_bacterium
5d7d16742c30fb5bea3b1b896617605c,Bacteria,Planctomycetota,vadinHA49,vadinHA49,vadinHA49,vadinHA49,metagenome
1cbb7a603d1dd44878b210c39e9dbcec,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,uncultured,Unassigned
