ASV ID,kingdom,phylum,class,order,family,genus,species
40f4d8d11657c0bf619252c5bba98f3d,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rudaea,uncultured_gamma
5722a3bfc5e4c67ba67d8b5fbae76e3b,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Xiphinematobacteraceae,Candidatus_Xiphinematobacter,uncultured_bacterium
4bd851a5ea3129b5c055579643312e2f,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,uncultured,Unassigned
6b0afa5e63f275b5816b0f812a834a2f,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,Unassigned
e41506f2fbdfd3e7388fd1f148c7d711,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,A4b,uncultured_bacterium
d17fee9878f2b06e1ae3dd1f38b8e287,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Edaphobacter,Unassigned
440ea8a080f2cd5f1874e5636f9e7c89,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae,uncultured_soil
84612a852310717866e1d3fa7caa65e9,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,Unassigned
bfbf6e6abbb7ebed410401c6ed5dfd53,Bacteria,Myxococcota,Polyangia,mle1-27,mle1-27,mle1-27,uncultured_proteobacterium
1beb70776c9a50a4ebbb1d3778c2295e,Bacteria,Firmicutes,Limnochordia,Limnochordia,Limnochordia,Hydrogenispora,Unassigned
6975ad205059e6f04dbcc6a4c2a2bc52,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,WWH38,WWH38,Unassigned
99c502e3815c9cf83d0ceba1eef81bcf,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,Unassigned
4a3169328b6185fa4fddfe751c00cfdc,Bacteria,Chloroflexi,JG30-KF-CM66,JG30-KF-CM66,JG30-KF-CM66,JG30-KF-CM66,uncultured_bacterium
ab101d1863194a2750f63253cda3804b,Bacteria,Chloroflexi,Ktedonobacteria,C0119,C0119,C0119,uncultured_candidate
e093a1486c8f7640dbd8316ef6e60119,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,uncultured,uncultured_bacterium
3f651115de726be5aea7c39023ec2f4d,Bacteria,Proteobacteria,Gammaproteobacteria,R7C24,R7C24,R7C24,metagenome
09a48bc51df40a86b6604bdecee976c4,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4_lineage,metagenome
4ed627e667d4390174c063c6ea3c8a2e,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Unassigned
61197a5575163dc5446cecef82973813,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1,uncultured_bacterium
d4c00b71c092c104a8385a02ffa5ef7e,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,Saccharimonadales,uncultured_soil
006f5df107628d09063da55ab54b9289,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,Unassigned
6f4e0e5e5c2f91d9b1c4fa5994cf3355,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,metagenome
1613c7e77e834ebdde269fe79d6413a9,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,WD2101_soil_group,Unassigned
a82d75222e2b99c2efcafac87d1a45bf,Bacteria,Myxococcota,Polyangia,Blfdi19,Blfdi19,Blfdi19,uncultured_soil
3188fc8061b7201b4aeff7b0d4b595ce,Bacteria,Chloroflexi,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
a2cef3b9e8bf9d982cb7d687725462fa,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Unassigned,Unassigned
9e2f37b17d43195181d7012b44620f6f,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Unassigned,Unassigned
b13f198100a8e38ab30f399a8beabc7d,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,uncultured,uncultured,uncultured_Planctomyces
e38d0fdfaa635588c130be6d34bc50eb,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,Thermosporothrix,uncultured_bacterium
b72aa47ff5c4f50eb54eb34776cd2c58,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned
b309e4c7bee99a687c64bdc6d98451d5,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,uncultured_bacterium
09c3bc2b859c3dddc9fe4ac1a041388d,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,uncultured,uncultured_Ktedobacteria
aa131433b6bca0152a255e0a51d361bf,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,uncultured,metagenome
39a5517481c54f24c9f5a978c793523f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,uncultured_bacterium
b27570b48c029508b78fae4c0cb76f02,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,Subgroup_7,Subgroup_7,Unassigned
589966773c129a1d04161ebddfb0e08f,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured,uncultured_bacterium
